P_ext(bar);M_ext(g);t_ext(s);D_cap(mm);L_cap(mm);rho(g/cm³);τw (Pa);γ̇w (s⁻¹);η (Pa·s)
0,7836;2,9200;20,2146;1,5000;43,0000;1,6300;683,4036;267,4582;2,5552
0,8208;3,0700;20,0933;1,5000;43,0000;1,6300;715,7801;282,8960;2,5302
0,8229;2,9100;20,2788;1,5000;43,0000;1,6300;717,6789;265,6989;2,7011
0,8265;2,7400;20,2621;1,5000;43,0000;1,6300;720,8183;250,3829;2,8789
0,8289;2,6400;20,1996;1,5000;43,0000;1,6300;722,8859;241,9917;2,9872
0,8301;2,6800;20,2053;1,5000;43,0000;1,6300;723,9185;245,5886;2,9477
0,9305;3,2900;20,1976;1,5000;43,0000;1,6300;811,4954;301,6030;2,6906
0,9312;3,2700;20,3189;1,5000;43,0000;1,6300;812,0868;297,9794;2,7253
0,9385;3,3600;20,3705;1,5000;43,0000;1,6300;818,4785;305,4046;2,6800
0,9404;3,2800;20,2115;1,5000;43,0000;1,6300;820,0927;300,4789;2,7293
0,9408;3,3500;20,2214;1,5000;43,0000;1,6300;820,5079;306,7412;2,6749
0,9421;3,3500;20,0311;1,5000;43,0000;1,6300;821,5988;309,6559;2,6533
0,9467;3,1500;20,2070;1,5000;43,0000;1,6300;825,6421;288,6341;2,8605
1,0017;3,6900;20,1578;1,5000;43,0000;1,6300;873,5860;338,9388;2,5774
1,0019;4,0700;20,3301;1,5000;43,0000;1,6300;873,7847;370,6760;2,3573
1,0095;4,3000;20,3202;1,5000;43,0000;1,6300;880,3836;391,8139;2,2469
1,0177;4,0500;20,3344;1,5000;43,0000;1,6300;887,5325;368,7765;2,4067
1,0191;3,9700;20,1942;1,5000;43,0000;1,6300;888,7762;364,0015;2,4417
1,0321;4,1800;20,3769;1,5000;43,0000;1,6300;900,0899;379,8194;2,3698
1,0415;4,3200;20,1580;1,5000;43,0000;1,6300;908,2508;396,8035;2,2889
1,2080;5,5700;20,2532;1,5000;43,0000;1,6300;1053,5249;509,2145;2,0689
1,2258;5,3500;20,2264;1,5000;43,0000;1,6300;1068,9722;489,7496;2,1827
1,2340;5,9500;20,2222;1,5000;43,0000;1,6300;1076,1377;544,7867;1,9753
1,2428;5,7600;20,3902;1,5000;43,0000;1,6300;1083,8650;523,0451;2,0722
1,2584;5,7700;20,1792;1,5000;43,0000;1,6300;1097,4172;529,4334;2,0728
1,2748;6,0600;20,4443;1,5000;43,0000;1,6300;1111,7291;548,8326;2,0256
1,4045;8,6200;20,2203;1,5000;43,0000;1,6300;1224,8964;789,3315;1,5518
1,4962;9,3200;20,2202;1,5000;43,0000;1,6300;1304,7883;853,4319;1,5289
1,5165;8,3000;20,2224;1,5000;43,0000;1,6300;1322,5193;759,9477;1,7403
1,5471;8,4800;20,2241;1,5000;43,0000;1,6300;1349,2142;776,3635;1,7379
1,5669;9,5600;20,2147;1,5000;43,0000;1,6300;1366,5058;875,6485;1,5606
1,5931;9,9400;20,3260;1,5000;43,0000;1,6300;1389,3707;905,4671;1,5344
1,6153;9,3700;20,3339;1,5000;43,0000;1,6300;1408,7184;853,2154;1,6511
1,6233;9,6400;20,1022;1,5000;43,0000;1,6300;1415,6412;887,9152;1,5943
1,6821;13,9200;20,0970;1,5000;43,0000;1,6300;1466,9075;1282,4704;1,1438
1,6988;15,3300;20,8199;1,5000;43,0000;1,6300;1481,5210;1363,3309;1,0867
1,7038;14,7200;20,3281;1,5000;43,0000;1,6300;1485,8668;1340,7536;1,1082
1,7276;10,6000;20,4477;1,5000;43,0000;1,6300;1506,6197;959,8425;1,5697
1,7380;17,3600;20,3357;1,5000;43,0000;1,6300;1515,7297;1580,6244;0,9589
1,7405;12,1600;20,2481;1,5000;43,0000;1,6300;1517,9197;1111,9548;1,3651
1,7415;17,3200;20,2913;1,5000;43,0000;1,6300;1518,7104;1580,4318;0,9609
1,7470;12,2500;20,3039;1,5000;43,0000;1,6300;1523,5503;1117,1059;1,3638
1,7528;14,4500;20,3284;1,5000;43,0000;1,6300;1528,6321;1316,1445;1,1614
1,7594;11,4000;20,3028;1,5000;43,0000;1,6300;1534,3505;1039,6493;1,4758
1,7841;10,8300;20,2737;1,5000;43,0000;1,6300;1555,9304;989,0840;1,5731
1,8344;14,3100;20,5027;1,5000;43,0000;1,6300;1599,7449;1292,3103;1,2379
1,8732;15,7300;20,3899;1,5000;43,0000;1,6300;1633,5919;1428,4061;1,1436
1,8892;13,2300;20,3311;1,5000;43,0000;1,6300;1647,5614;1204,8640;1,3674
1,9039;19,5200;24,0874;1,5000;43,0000;1,6300;1660,3991;1500,4738;1,1066
1,9302;17,4500;20,3627;1,5000;43,0000;1,6300;1683,3339;1586,7134;1,0609
1,9378;15,4300;20,3295;1,5000;43,0000;1,6300;1689,9410;1405,3265;1,2025
1,9754;18,0100;20,4969;1,5000;43,0000;1,6300;1722,7377;1626,9133;1,0589
1,9835;18,6100;20,5545;1,5000;43,0000;1,6300;1729,7758;1676,4008;1,0318
2,0048;18,5500;20,2959;1,5000;43,0000;1,6300;1748,3364;1692,2874;1,0331
2,0113;18,0800;20,5007;1,5000;43,0000;1,6300;1754,0226;1632,9324;1,0742
2,0139;17,9800;20,3277;1,5000;43,0000;1,6300;1756,2882;1637,7237;1,0724
2,0444;15,3300;20,5160;1,5000;43,0000;1,6300;1782,9036;1383,5275;1,2887
2,5633;37,2700;20,2986;1,5000;43,0000;1,6300;2235,4152;3399,6354;0,6575
2,5745;28,2200;20,5872;1,5000;43,0000;1,6300;2245,1833;2538,0351;0,8846
2,5818;18,5400;20,7306;1,5000;43,0000;1,6300;2251,5568;1655,9087;1,3597
